 firename, lat, lon, startdate, response_type,size_km2,status
 K41979, 50.2469, -119.097, 2025-09-05 23:51:00, FUL,0.7,Under control
 NO050, 56.1733, -98.1517, 2025-07-02 05:00:00, MOD,1310.1,Under control
 G71946, 55.4269, -121.7, 2025-09-03 20:12:00, FUL,0.1,Under control
 EA114, 51.5617, -95.6019, 2025-09-09 05:00:00, MON,0,Out of control
 NO010, 56.2558, -96.1878, 2025-05-29 05:00:00, FUL,252.3,Under control
 V31930, 49.8734, -122.541, 2025-09-02 23:22:00, FUL,0,Under control
 68585, 46.9915, -66.4754, 2025-08-14 12:08:41, FUL,4.6,Held
 2025HJ007, 61.3876, -137.011, 2025-06-22 04:34:00, MON,107.8,Out of control
 N62031, 49.4343, -118.409, 2025-09-08 22:43:00, FUL,0,Under control
 EA096, 51.6147, -95.86, 2025-07-14 05:00:00, MOD,445.9,Under control
 SWF-094-2025, 56.9977, -114.46, 2025-05-29 00:21:00, FUL,738,Held
 C51843, 51.9753, -124.408, 2025-09-01 02:16:00, FUL,4.7,Under control
 K61891, 49.7097, -121.04, 2025-09-01 19:22:00, FUL,29,Held
 V51934, 50.9164, -124.027, 2025-09-03 00:39:00, MOD,0.9,Held
 SWF-085-2025, 56.789, -113.838, 2025-05-27 19:16:00, FUL,1375.8,Held
 NO218, 54.1489, -94.7625, 2025-09-11 05:00:00, MON,15.2,Out of control
 2025YO3, 51.3362, -116.687, 2025-09-04 14:24:02, FUL,2.7,Out of control
 V51897, 50.9196, -124.391, 2025-09-01 22:31:00, MOD,0.2,Held
 C41740, 51.7068, -120.582, 2025-08-30 03:03:00, FUL,0.5,Under control
 NO005, 54.3772, -98.2917, 2025-05-20 05:00:00, MOD,1795.1,Under control
 K61924, 49.353, -120.911, 2025-09-02 19:02:00, FUL,7.6,Held
 SLK_PB_002, 50.5789, -91.0249, 2025-09-11 13:11:00, FUL,0.1,Held
 V31708, 50.2548, -122.559, 2025-08-29 22:32:00, FUL,5.3,Held
 V71498, 49.1247, -124.775, 2025-08-12 02:31:00, FUL,35.2,Under control
 N61958, 49.3006, -118.58, 2025-09-04 19:06:00, MOD,0,Held
 V81977, 49.7834, -125.637, 2025-09-05 21:33:00, MOD,0,Under control
 V51691, 51.2395, -125.208, 2025-08-29 17:10:00, MOD,0,Under control
 V52021, 50.464, -124.142, 2025-09-08 04:49:00, MOD,0.6,Under control
 V51947, 50.7026, -124.832, 2025-09-03 20:36:00, MOD,3.9,Under control
 V51945, 50.6763, -124.789, 2025-09-03 20:06:00, MOD,0,Under control
 NO026, 56.3611, -100.259, 2025-06-27 05:00:00, FUL,1762.8,Under control
 NO047, 56.3997, -99.5278, 2025-06-30 05:00:00, FUL,445.9,Under control
 NO147, 57.4267, -99.4133, 2025-07-18 05:00:00, MON,30.5,Out of control
 WE052, 54.7258, -100.395, 2025-07-01 05:00:00, FUL,638.8,Under control
 N21817, 50.1846, -116.142, 2025-08-31 13:53:00, FUL,0,Under control
 NO057, 56.4594, -94.9692, 2025-07-03 05:00:00, MOD,204,Under control
 NO079, 53.8536, -94.6119, 2025-07-06 05:00:00, FUL,378.6,Under control
 NO151, 56.2867, -100.955, 2025-07-20 05:00:00, MOD,179.5,Under control
 C22134, 52.0597, -121.956, 2025-09-17 22:38:00, FUL,0.1,Under control
